Timestamp,Skin conductance,Respiration,Event
2000-01-01 00:08:17.160,0.7695770263671875,-0.17413330078125,5.0
2000-01-01 00:08:17.180,0.7697601318359375,-0.16314697265625,5.0
2000-01-01 00:08:17.200,0.7697601318359375,-0.1512603759765625,5.0
2000-01-01 00:08:17.220,0.769744873046875,-0.1387786865234375,5.0
2000-01-01 00:08:17.240,0.7699127197265625,-0.126129150390625,5.0
2000-01-01 00:08:17.260,0.769866943359375,-0.1140289306640625,5.0
2000-01-01 00:08:17.280,0.769989013671875,-0.1021270751953125,5.0
2000-01-01 00:08:17.300,0.7700958251953125,-0.090576171875,5.0
2000-01-01 00:08:17.320,0.7702789306640625,-0.0789642333984375,5.0
2000-01-01 00:08:17.340,0.7702789306640625,-0.06707763671875,5.0
2000-01-01 00:08:17.360,0.7704925537109375,-0.054534912109375,5.0
2000-01-01 00:08:17.380,0.7705230712890625,-0.0416717529296875,5.0
2000-01-01 00:08:17.400,0.770477294921875,-0.0285797119140625,5.0
2000-01-01 00:08:17.420,0.7707672119140625,-0.015625,5.0
2000-01-01 00:08:17.440,0.770965576171875,-0.002899169921875,5.0
2000-01-01 00:08:17.460,0.7709197998046875,0.01019287109375,5.0
2000-01-01 00:08:17.480,0.7711029052734375,0.0232086181640625,5.0
2000-01-01 00:08:17.500,0.7711639404296875,0.036346435546875,5.0
2000-01-01 00:08:17.520,0.7712554931640625,0.0493316650390625,5.0
2000-01-01 00:08:17.540,0.7714080810546875,0.061553955078125,5.0
2000-01-01 00:08:17.560,0.771484375,0.0733795166015625,5.0
2000-01-01 00:08:17.580,0.7715911865234375,0.08355712890625,5.0
2000-01-01 00:08:17.600,0.77154541015625,0.093505859375,5.0
2000-01-01 00:08:17.620,0.771697998046875,0.10211181640625,5.0
2000-01-01 00:08:17.640,0.7716522216796875,0.1091156005859375,5.0
2000-01-01 00:08:17.660,0.7716217041015625,0.11444091796875,5.0
2000-01-01 00:08:17.680,0.771759033203125,0.1176605224609375,5.0
2000-01-01 00:08:17.700,0.7718505859375,0.1197967529296875,5.0
2000-01-01 00:08:17.720,0.7719573974609375,0.120758056640625,5.0
2000-01-01 00:08:17.740,0.7718048095703125,0.1209564208984375,5.0
2000-01-01 00:08:17.760,0.7718505859375,0.1208038330078125,5.0
2000-01-01 00:08:17.780,0.7718963623046875,0.1204681396484375,5.0
2000-01-01 00:08:17.800,0.772186279296875,0.12005615234375,5.0
2000-01-01 00:08:17.820,0.77215576171875,0.1196746826171875,5.0
2000-01-01 00:08:17.840,0.772186279296875,0.1195220947265625,5.0
2000-01-01 00:08:17.860,0.7723236083984375,0.1194305419921875,5.0
2000-01-01 00:08:17.880,0.7723846435546875,0.1196746826171875,5.0
2000-01-01 00:08:17.900,0.7725677490234375,0.1204376220703125,5.0
2000-01-01 00:08:17.920,0.7725372314453125,0.1214141845703125,5.0
2000-01-01 00:08:17.940,0.7726898193359375,0.122955322265625,5.0
2000-01-01 00:08:17.960,0.77288818359375,0.124420166015625,5.0
2000-01-01 00:08:17.980,0.7730712890625,0.12646484375,5.0
2000-01-01 00:08:18.000,0.7730255126953125,0.1288909912109375,5.0
2000-01-01 00:08:18.020,0.77337646484375,0.1317596435546875,5.0
2000-01-01 00:08:18.040,0.7731475830078125,0.1352386474609375,5.0
2000-01-01 00:08:18.060,0.7732391357421875,0.13897705078125,5.0
2000-01-01 00:08:18.080,0.7735748291015625,0.1430816650390625,5.0
2000-01-01 00:08:18.100,0.77349853515625,0.1466522216796875,5.0
2000-01-01 00:08:18.120,0.7735595703125,0.150115966796875,5.0
2000-01-01 00:08:18.140,0.77386474609375,0.15283203125,0.5
2000-01-01 00:08:18.160,0.7739715576171875,0.1545562744140625,0.0
2000-01-01 00:08:18.180,0.7740325927734375,0.1553802490234375,0.0
2000-01-01 00:08:18.200,0.7740631103515625,0.155303955078125,0.0
2000-01-01 00:08:18.220,0.7740478515625,0.1544189453125,0.0
2000-01-01 00:08:18.240,0.77410888671875,0.1524810791015625,0.0
2000-01-01 00:08:18.260,0.774200439453125,0.149505615234375,0.0
2000-01-01 00:08:18.280,0.774261474609375,0.145782470703125,0.0
2000-01-01 00:08:18.300,0.7743377685546875,0.141204833984375,0.0
2000-01-01 00:08:18.320,0.7742462158203125,0.1365203857421875,0.0
2000-01-01 00:08:18.340,0.774322509765625,0.1316375732421875,0.0
2000-01-01 00:08:18.360,0.774383544921875,0.126190185546875,0.0
2000-01-01 00:08:18.380,0.7742462158203125,0.1208038330078125,0.0
2000-01-01 00:08:18.400,0.7743682861328125,0.115142822265625,0.0
2000-01-01 00:08:18.420,0.7743377685546875,0.1094818115234375,0.0
2000-01-01 00:08:18.440,0.7742767333984375,0.1035003662109375,0.0
2000-01-01 00:08:18.460,0.7742767333984375,0.0975494384765625,0.0
2000-01-01 00:08:18.480,0.7742462158203125,0.091400146484375,0.0
2000-01-01 00:08:18.500,0.7741241455078125,0.0858154296875,0.0
2000-01-01 00:08:18.520,0.7741851806640625,0.080657958984375,0.0
2000-01-01 00:08:18.540,0.7739715576171875,0.07635498046875,0.0
2000-01-01 00:08:18.560,0.7739715576171875,0.07208251953125,0.0
2000-01-01 00:08:18.580,0.773773193359375,0.068603515625,0.0
2000-01-01 00:08:18.600,0.7738037109375,0.0667266845703125,0.0
2000-01-01 00:08:18.620,0.7736053466796875,0.06561279296875,0.0
2000-01-01 00:08:18.640,0.773529052734375,0.06585693359375,0.0
2000-01-01 00:08:18.660,0.7734222412109375,0.0667266845703125,0.0
