event_number,Mean,Trough_1_x,Trough_1_val,Peak_1_x,Peak_1_val,Trough_2_x,Trough_2_val,Peak_2_x,Peak_2_val,Trough_3_x,Trough_3_val,Peak_3_x,Peak_3_val,Diff_1,Diff_2,Diff_3
0,1.513981538660386,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,1.2696685791015625,485.0,1.270904541015625,0.0,0.0,0.0012359619140625
1,1.0901363597196692,100.0,1.1738739013671875,167.0,1.309600830078125,315.0,0.0,335.0,0.0,465.0,1.1190338134765625,485.0,1.1318511962890625,0.1357269287109375,0.0,0.0128173828125
2,1.029756134631587,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,0.9443359375,485.0,0.9519805908203125,0.0,0.0,0.0076446533203125
3,0.8729963115617341,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.0,0.0,0.0
4,0.7858135746974572,165.0,0.0,185.0,0.0,315.0,0.0,335.0,0.0,465.0,0.0,485.0,0.0,0.0,0.0,0.0
5,0.7749364516314339,165.0,0.0,185.0,0.0,315.0,0.78411865234375,335.0,0.7993316650390625,465.0,0.0,485.0,0.0,0.0,0.0152130126953125,0.0
6,0.8703415814568015,165.0,0.8620452880859375,185.0,0.868621826171875,315.0,0.0,335.0,0.0,451.0,0.8288116455078125,485.0,0.855865478515625,0.0065765380859375,0.0,0.0270538330078125
7,0.7946810254863664,165.0,0.0,185.0,0.0,250.0,0.8202972412109375,338.0,0.8486480712890625,465.0,0.81396484375,485.0,0.8163604736328125,0.0,0.028350830078125,0.0023956298828125
8,0.7662652707567402,165.0,0.0,185.0,0.0,315.0,0.7560272216796875,335.0,0.762054443359375,465.0,1.0495452880859375,485.0,1.3970947265625,0.0,0.0060272216796875,0.3475494384765625
